FUENTE,TRANSPONEDOR,REPORTE
DATOS_BDI_pozos_operando,,Pozos productores: petr贸leo y gas asociado p/ campo;Pozos productores de gas no asociado por campo
DATOS_BDI_distribucion_de_crudo,,Producci贸n y distribuci贸n de petr贸leo
DATOS_BDI_crudo_por_campo,cargar_bdi_crudo_por_campo.py,
DATOS_BDI_crudo_por_estado,cargar_crudo_por_estadoR.py,
DATOS_BDI_crudo_por_proyecto,cargar_bdi_crudo_por_proyecto.py,
DATOS_BDI_gas_atmosfera,,
DATOS_BDI_gas_por_proyecto,cargar_bdi_gas_por_proyecto.py,
DATOS_BDI_gas_por_estado,cargar_bdi_gas_por_estado.py,
DATOS_BDI_pozos_desarrollo_operacion,cargar_bdi_pozos_desarrollo_operacion.py,
DATOS_BDI_pozos_desarrollo_perforacion,cargar_bdi_pozos_desarrollo_perforacion.py,
DATOS_BDI_reporte_diario,,
DATOS_BDI_BALANCE_GAS_5presidentes,,
DATOS_BDI_BALANCE_GAS_abkatunpolchuc,,
DATOS_BDI_BALANCE_GAS_atg,,
DATOS_BDI_BALANCE_GAS_bellotajujo,,
DATOS_BDI_BALANCE_GAS_burgos,,
DATOS_BDI_BALANCE_GAS_cantarell,,
DATOS_BDI_BALANCE_GAS_kumaloobzaap,,
DATOS_BDI_BALANCE_GAS_litoraltabasco,,
DATOS_BDI_BALANCE_GAS_macuspanamuspac,,
DATOS_BDI_BALANCE_GAS_NACIONAL,,
DATOS_BDI_BALANCE_GAS_poza_rica_altamira,,
DATOS_BDI_BALANCE_GAS_samarialuna,,
DATOS_BDI_BALANCE_GAS_Veracruz,,
DATOS_DG_MEDICION,,
DATOS_BDI_pozos_exploratorios_perforados,,
DATOS_BDI_pozos_exploratorios_terminados,,
DATOS_BDI_pozos_desarrollo_perforados,,
DATOS_BDI_pozos_desarrollo_terminados,,
DATOS_BDI_valor_de_exportaciones,,
DATOS_BDI_volumen_de_exportaciones,,
DATOS_UATAC_equipos_de_perforacion,,
DATOS_RONDAS_empresas,empresas.py,
DATOS_RONDAS_ofertas,empresas.py,
